code,iata,city,alias
ABA,ABA,Абакан,АБН УНАА
SCO,SCO,Актау,ААУ УАТЕ
AKX,AKX,Актобе,АКХ УАТТ
GZP,GZP,Аланья (Газипаша),LTFG
ADH,ADH,Алдан,АЛД УЕЕА
ALA,ALA,Алматы,АЛА УААА
AMV,AMV,Амдерма,АМД УЛДД
DYR,DYR,Анадырь,АНЫ УХМА
AAQ,AAQ,Анапа,АНА УРКА
AZN,AZN,Андижан,АНЖ УТФА
TJU,TJU,Куляб,КЛБ
ESB,ESB,Анкара,LTAC
KVK,KVK,Апатиты,АПХ УЛМК
ARH,ARH,Архангельск,АХГ УЛАА
VKV,VKV,Архангельск,ВСЬ
ASF,ASF,Астрахань,АСР УРВА
GUW,GUW,Атырау,АТЫ УАТГ
ATH,ATH,Афины,LGAV
PKX,PKX,Пекин,PKX
ASB,ASB,Ашхабад,АШХ УТАА
GYD,GYD,Баку,БАК УБББ
BХY,BХY,Байконур (Крайний),ЛНЙ УАОЛ
BHХ,BHХ,Балхаш,БЛХ УААХ
BAX,BAX,Барнаул,БАН УНББ
BQJ,BQJ,Батагай,БТГ УЕББ
BUS,BUS,Батуми,БУИ UGSB
NBC,NBC,Нижнекамск,НЖК УВКЕ
BGN,BGN,Белая гора,БЯГ УЕСГ
CGK,CGK,Джакарта,
EGO,EGO,Белгород,БЕД УУОБ
BEG,BEG,Белград,БЕГ
AYT,AYT,Анталья,АЯТ
EYK,EYK,Белоярский,БЛР УСХЯ
EZV,EZV,Березово,БЕР УСХБ
BQS,BQS,Благовещенск,БГЩ УХББ
BVJ,BVJ,Бованенково,БОВ УСДБ
BQG,BQG,Богородское,БГР УХНБ
ODO,ODO,Бодайбо,БДБ УИКБ
BJV,BJV,Бодрум,LTFE
BXJ,BXJ,Боралдай,БРУ УААР
KBP,KBP,Борисполь,БСП УКББ
KZN,KZN,Казань,ККЗ
KQT,KQT,Бохтар (Курган-Тюбе),КГТ УТДТ
KUT,KUT,Кутаиси,КИС
UBN,UBN,Улан-Батор,
GOX,GOX,Мопа,
GMP,GMP,Сеул,
TFU,TFU,Чэнду,ТФУ
BTK,BTK,Братск,БРС УИББ
BQT,BQT,Брест,БРТ УМББ
BZK,BZK,Брянск,БРЯ УУБП
UUA,UUA,Бугульма,БУГ УВКБ
BHK,BHK,Бухара,БУА УТСБ
ВРЯ,ВРЯ,Ванавара,ВРЯ УНИВ
VUS,VUS,Великий Устюг,ВЕУ УЛВУ
VNT,VNT,Вентспилс,
VHV,VHV,Верхневилюйск,ВХВ УЕНИ
VNO,VNO,Вильнюс,ВИЛ
VYI,VYI,Вилюйск,ВИК УЕНВ
VTB,VTB,Витебск,ВИТ УМИИ
VVO,VVO,Владивосток,ВВО УХВВ
OGZ,OGZ,Владикавказ,ВЛА УРМО
VKO,VKO,Москва,ВНК УУВВ
VOG,VOG,Волгоград,ВГГ УРВВ
VGD,VGD,Вологда,ВГД УЛВВ
VKT,VKT,Воркута,ВКТ УУЫВ
VOZ,VOZ,Воронеж,ВРН УУОО
GBB,GBB,Габала,ГАБ УББЯ
GSV,GSV,Саратов,ГСВ УВСГ
GDZ,GDZ,Геленджик,ГДЖ УРКГ
GME,GME,Гомель,ГМЛ УМГГ
RGK,RGK,Горно-Алтайск,ГОР УНБГ
GNA,GNA,Гродно,ГРД УММГ
GRV,GRV,Грозный,ГРН УРМГ
KVD,KVD,Гянджа,ГНЖ УББГ
DLM,DLM,Даламан,ДАН LTBS
TAZ,TAZ,Дашогуз,ТШЗ УТАТ
DPT,DPT,Депутатский,ДЕП УЕБД
DKS,DKS,Диксон,ДИК УОДД
DME,DME,Москва,ДМД УУДД
DXB,DXB,Дубай,ДБЙ OMDB
DYU,DYU,Душанбе,ДШБ УТДД
PKC,PKC,Елизово,ПРЛ УХПП
EIE,EIE,Енисейск,ЕНС УНИИ
ERG,ERG,Ербогачён,ЕГЧ УИКЕ
EVN,EVN,Ереван,ЗВР УДЫЗ
SVX,SVX,Екатеринбург,ЕКБ
DZN,DZN,Жезказган,ДЗН УАКД
ZIX,ZIX,Жиганск,ЖИГ УЕЖЖ
ZIA,ZIA,Москва,ЖУК УУБВ
IEV,IEV,Жуляны,ЖУЛ УККК
AFS,AFS,Зарафшан,ЗФШ УТСН
ZKP,ZKP,Зырянка,ЗНК УЕСУ
IWA,IWA,Иваново,ИВВ УУБИ
IAA,IAA,Игарка,ИГР УОИИ
IRM,IRM,Игрим,ИРМ УСХИ
IJK,IJK,Ижевск,ИЖВ УСИИ
ADB,ADB,Измир,LTBJ
INA,INA,Инта,ИНТ УУЫИ
HER,HER,Ираклион,LGIR
IKT,IKT,Иркутск,ИКТ УИИИ
IKU,IKU,Тамчи,ИКУ УЦФЛ
JOK,JOK,Йошкар-Ола,ИШО УВКЙ
KVR,KVR,Кавалерово,КАВ УХВК
KGD,KGD,Калининград,КЛД УМКК
KLF,KLF,Калуга,КЛГ УУБЦ
KGF,KGF,Караганда (Сары-Арка),КГД УАКК
KPJ,KPJ,Каракол,КПЖ УЦФП
KSQ,KSQ,Карши,КРШ УТСК
KUN,KUN,Каунас,KUN
KEJ,KEJ,Кемерово,КРВ УНЕЕ
KCK,KCK,Киренск,КРН УИКК
KVX,KVX,Киров,КИО КИУ УСКК
KIV,KIV,Кишинев,КШН
RMO,RMO,Кишинев,РМО
KGP,KGP,Когалым,КОГ УСРК
КЗИ,КЗИ,Кодинск,КЗИ УНКИ
KOV,KOV,Кокшетау,КЧТ УАЦК
KXK,KXK,Комсомольск-на-Амуре,КСЛ УХКК
CFU,CFU,Корфу,LGKR
KGS,KGS,Кос,LGKO
KSN,KSN,Костанай,КТН УАУУ
KMW,KMW,Кострома,КОР УУБА
KSZ,KSZ,Котлас,КТС УЛКК
KRR,KRR,Краснодар,КПА УРКК
KKQ,KKQ,Красноселькуп,ККЬ УСДП
KJA,KJA,Красноярск,КЯА УНКЛ
KRO,KRO,Курган,КГН УСУУ
URE,URE,Курессааре,
URS,URS,Курск,КУС УУОК
KYZ,KYZ,Кызыл,КЫЫ УНКЫ
KZO,KZO,Кызылорда,КЗО УАОО
KDL,KDL,Кярдла,
LPP,LPP,Лаппеэнранта,EFLP
LCA,LCA,Ларнака,LCLK
LLK,LLK,Ленкорань,ЛНР УББЛ
ULK,ULK,Ленск,ЛСК УЕРЛ
LDG,LDG,Лешуконское,ЛЕШ УЛАЛ
LPK,LPK,Липецк,ЛИП УУОЛ
GDX,GDX,Магадан,МДС УХММ
GYG,GYG,Маган,МГН УЕММ
IGT,IGT,Магас,ИНШ УРМС
MQF,MQF,Магнитогорск,МГС УСЦМ
FRU,FRU,Бишкек,БИШ УЦФМ
KVM,KVM,Марково,МКО УХМО
MYP,MYP,Мары,МРЫ УТАМ
MCX,MCX,Махачкала,МХЛ УРМЛ
DEE,DEE,Менделеево,ЮЖК УХСМ
MRV,MRV,Минеральные Воды,МРВ УРММ
MSQ,MSQ,Минск,МИК УММС
MJZ,MJZ,Мирный,МИР УЕРР
MVQ,MVQ,Могилев,МГЛ УМОО
MMW,MMW,Мома,МОМ УЕМА
MMK,MMK,Мурманск,МУН УЛММ
NVI,NVI,Навои,НВИ УТСА
NYM,NYM,Надым,НДМ УСММ
NAL,NAL,Нальчик,НЧК УРМН
NMA,NMA,Наманган,НМГ УТФН
NNM,NNM,Нарьян-Мар,ННР УЛАМ
NAJ,NAJ,Нахичевань,НХЧ УББН
NER,NER,Нерюнгри,НРГ УЕЛЛ
NJC,NJC,Нижневартовск,НЖВ УСНН
GOJ,GOJ,Нижний Новгород,НЖС УВГГ
NLI,NLI,Николаевск-на-Амуре,НЛК УХНН
NOZ,NOZ,Новокузнецк,НВК УНВВ
NUX,NUX,Новый Уренгой,НУР УСМУ
NGK,NGK,Ноглики,НГЛ УХСН
NSK,NSK,Норильск,НАК УООО
NOJ,NOJ,Ноябрьск,НОЯ УСРО
NCU,NCU,Нукус,НУС УТНН
NQZ,NQZ,Астана,АКЛ УАЦЦ
NYR,NYR,Нюрба,НЮР УЕНН
NYA,NYA,Нягань,НЯГ УСХН
OLZ,OLZ,Олёкминск,ОЛК УЕМО
ONK,ONK,Оленёк,ОЛН УЕРО
OMS,OMS,Омск,ОМС УНОО
REN,REN,Оренбург,ОНГ УВОО
OSW,OSW,Орск,ОСК УВОР
OSF,OSF,Остафьево,ОСФ УУМО
OHH,OHH,Оха,ОХА УХСХ
OHO,OHO,Охотск,ОХТ УХОО
OSS,OSS,Ош,ОШШ УЦФО
PWQ,PWQ,Павлодар,ПВЛ УАСП
PLQ,PLQ,Паланга,ПЛГ
ZTU,ZTU,Парзиван,ЗТЛ УББЫ
PWE,PWE,Певек,ПЕВ УХМП
PEZ,PEZ,Пенза,ПНА УВПП
PEE,PEE,Пермь,ПРЬ УСПП
PES,PES,Петрозаводск,ПТБ УЛПБ
PPK,PPK,Петропавловск,ПРА УАЦП
PEX,PEX,Печора,ПЧР УУЫП
TLY,TLY,Пластун,ПЛА УХВП
ROV,ROV,Платов,РОВ УРРП
TGP,TGP,Подкаменная Тунгуска,ПТС УНИП
PYJ,PYJ,Полярный,ПЛЯ УЕРП
PVS,PVS,Провидения Бухта,ПРД УХМД
PKV,PKV,Псков,ПСК УЛОО
LED,LED,Санкт-Петербург,ПЛК УЛЛИ СПБ
EPU,EPU,Пярну,
RIX,RIX,Рига,РИХ
RHO,RHO,Родос,LGRP
SBT,SBT,Сабетта,СБТ УСДА
SUK,SUK,Саккырыр,СКЫ УЕБС
SLY,SLY,Салехард,СХД УСДД
SKG,SKG,Салоники,LGTS
KUF,KUF,Самара,СКЧ УВВВ
SKD,SKD,Самарканд,СКД УТСС
SKX,SKX,Саранск,СРН УВПС
SYS,SYS,Саскылах,СЫХ УЕРС
СЕН,СЕН,Северо-Енисейск,СЕН УНИС
SWV,SWV,Северо-Эвенск,СВЕ УХМВ
PLX,PLX,Семей,СПЛ УАСС
SIP,SIP,Симферополь,СИП УРФФ
GVN,GVN,Советская Гавань,СОГ УХКМ
OVS,OVS,Советский,СОЙ УСХС
CSH,CSH,Соловки,СОИ УЛАС*
AER,AER,Сочи,СОЧ УРСС
SEK,SEK,Среднеколымск,СРМ УЕСК
STW,STW,Ставрополь,СТВ УРМТ
SWT,SWT,Стрежевой,СТЖ УНСС
IKA,IKA,Тегеран,
SUY,SUY,Сунтар,СУН УЕНС
SGC,SGC,Сургут,СУР УСРР
IST,IST,Стамбул,LTFM
SCW,SCW,Сыктывкар,СЫВ УУЫЫ
TLK,TLK,Талакан,ТЛК УЕЦТ
TDK,TDK,Талдыкорган,ТЫГ УААТ
TLL,TLL,Таллинн,TLL
TBW,TBW,Тамбов,ТМБ УУОТ
DMB,DMB,Тараз,ДМБ УАДД
TQL,TQL,Тарко-Сале,ТКС УСДС
TAY,TAY,Тарту,
TAS,TAS,Ташкент,ТАС УТТТ
TBS,TBS,Тбилиси,ТБС UGTB
TLV,TLV,Тель-Авив,ТЛЯ LLBG
TMJ,TMJ,Термез,ТМЗ УТСТ
IKS,IKS,Тикси,ТСИ УЕСТ
RMZ,RMZ,Тобольск (Ремезов),РМЗ УСТЙ
OVB,OVB,Новосибирск,ТЛЧ УННТ
TOF,TOF,Томск,ТСК УНТТ
CRZ,CRZ,Туркменабат,ЧДЖ УТАЖ
KRW,KRW,Туркменбаши,ТРЫ УТАК
THX,THX,Туруханск,ТРХ УОТТ
TYD,TYD,Тында,ТЫД УХБВ
TJM,TJM,Тюмень,РЩН УСТР
UUD,UUD,Улан-Удэ,УЛЭ УИУУ
ULV,ULV,Ульяновск,УЛК УВЛЛ
ULY,ULY,Ульяновск (Восточный),УЛС УВЛВ
URJ,URJ,Урай,УРА УСХУ
URA,URA,Уральск,УРЛ УАРР
UGC,UGC,Ургенч,УГН УТНУ
USK,USK,Усинск,УСН УУЫС
UKK,UKK,Усть-Каменогорск,УКГ УАСК
UKG,UKG,Усть-Куйга,УКУ УЕБТ
UKX,UKX,Усть-Кут,УСК УИТТ
UMS,UMS,Усть-Мая,УСМ УЕМУ
USP,USP,Усть-Нера,УНР УЕМТ
UTS,UTS,Усть-Цильма,УТЦ УУЫЬ
UFA,UFA,Уфа,УФА УВУУ
UCT,UCT,Ухта,УХТ УУЫХ
FEG,FEG,Фергана,ФГН УТФФ
KHV,KHV,Хабаровск,ХБР УХХХ
KDY,KDY,Хандыга,ХДЫ УЕМХ
HMA,HMA,Ханты-Мансийск,ХАС УСХХ
HTG,HTG,Хатанга,ХАТ УОХХ
HEL,HEL,Хельсинки,EFHK
ХРП,ХРП,Херпучи,УХНХ Россия
LBD,LBD,Худжанд,ХДТ УТДЛ
HRG,HRG,Хургада,ХГД HEGN
CSY,CSY,Чебоксары,ЧБЕ УВКС
CEK,CEK,Челябинск,ЧЛБ УСЦЦ
КЯС,КЯС,Красноярск,КЯС УНКМ
CEE,CEE,Череповец,ЧРВ УЛВЦ
CYX,CYX,Черский,ЧРС УЕСС
HTA,HTA,Чита,СХТ УИАА
CKH,CKH,Чокурдах,ЧКД УЕСО
SSH,SSH,Шарм-эль-Шейх,ССХ HESH
EKS,EKS,Шахтерск,ШАХ УХСК
SVO,SVO,Москва,ШРМ УУЕЕ
LWN,LWN,Ширак (Гюмри),ГЮМ УДСГ
CIT,CIT,Шымкент,ШМТ УАИИ
SQQ,SQQ,Шяуляй,ШЛЬ
ESL,ESL,Элиста,ЭЛИ УРВИ
UUS,UUS,Южно-Сахалинск,ЮЖХ УХСС
YKS,YKS,Якутск,ЯКТ УЕЕЕ
IAR,IAR,Ярославль,ЯРТ УУДЛ
ITU,ITU,Ясный (Итуруп),ККУ УХСИ
MLE,MLE,Мальдивы,
SAW,SAW,Стамбул,СБХ
STN,STN,Станстед,
AAA,AAA,Anaa,
AAB,AAB,Arrabury,
AAC,AAC,Al Arish,
AAD,AAD,Ad-Dabbah,
AAE,AAE,Annaba,
AAF,AAF,Apalachicola,
AAG,AAG,Arapoti,
AAH,AAH,Aachen,
AAI,AAI,Arraias,
AAJ,AAJ,Awaradam,
AAK,AAK,Aranuka,
AAL,AAL,Aalborg,
AAM,AAM,Mala Mala,
AAN,AAN,Al Ain,
AAO,AAO,Anaco,
AAP,AAP,"Houston, TX",
AAR,AAR,Aarhus,
AAS,AAS,Apalapsili,
AAT,AAT,Altay,
AAU,AAU,Asau,
AAV,AAV,Surallah,
AAW,AAW,Abbottabad,
AAX,AAX,Araxa,
