code,description
TK,авиакомпания изменила время вылета/предлагает другой рейс
TK1,авиакомпания изменила время вылета/предлагает другой рейс
TK2,авиакомпания изменила время вылета/предлагает другой рейс
TK3,авиакомпания изменила время вылета/предлагает другой рейс
TK4,авиакомпания изменила время вылета/предлагает другой рейс
TK5,авиакомпания изменила время вылета/предлагает другой рейс
TK6,авиакомпания изменила время вылета/предлагает другой рейс
ТК,авиакомпания изменила время вылета/предлагает другой рейс
ТК1,авиакомпания изменила время вылета/предлагает другой рейс
ТК2,авиакомпания изменила время вылета/предлагает другой рейс
ТК3,авиакомпания изменила время вылета/предлагает другой рейс
ТК4,авиакомпания изменила время вылета/предлагает другой рейс
ТК5,авиакомпания изменила время вылета/предлагает другой рейс
ТК6,авиакомпания изменила время вылета/предлагает другой рейс
HK,рейс остался без изменений/авиакомпания подтвердила изменения в рейсе
HK1,рейс остался без изменений/авиакомпания подтвердила изменения в рейсе
HK2,рейс остался без изменений/авиакомпания подтвердила изменения в рейсе
HK3,рейс остался без изменений/авиакомпания подтвердила изменения в рейсе
HK4,рейс остался без изменений/авиакомпания подтвердила изменения в рейсе
HK5,рейс остался без изменений/авиакомпания подтвердила изменения в рейсе
HK6,рейс остался без изменений/авиакомпания подтвердила изменения в рейсе
HK7,рейс остался без изменений/авиакомпания подтвердила изменения в рейсе
HK8,рейс остался без изменений/авиакомпания подтвердила изменения в рейсе
НК,рейс остался без изменений/авиакомпания подтвердила изменения в рейсе
НК1,рейс остался без изменений/авиакомпания подтвердила изменения в рейсе
НК2,рейс остался без изменений/авиакомпания подтвердила изменения в рейсе
НК3,рейс остался без изменений/авиакомпания подтвердила изменения в рейсе
НК4,рейс остался без изменений/авиакомпания подтвердила изменения в рейсе
НК5,рейс остался без изменений/авиакомпания подтвердила изменения в рейсе
НК6,рейс остался без изменений/авиакомпания подтвердила изменения в рейсе
НК7,рейс остался без изменений/авиакомпания подтвердила изменения в рейсе
НК8,рейс остался без изменений/авиакомпания подтвердила изменения в рейсе
НК10,рейс остался без изменений/авиакомпания подтвердила изменения в рейсе
КК1,рейс остался без изменений/авиакомпания подтвердила изменения в рейсе
КК2,рейс остался без изменений/авиакомпания подтвердила изменения в рейсе
КК3,рейс остался без изменений/авиакомпания подтвердила изменения в рейсе
КК4,рейс остался без изменений/авиакомпания подтвердила изменения в рейсе
КК5,рейс остался без изменений/авиакомпания подтвердила изменения в рейсе
KK1,рейс остался без изменений/авиакомпания подтвердила изменения в рейсе
KK2,рейс остался без изменений/авиакомпания подтвердила изменения в рейсе
KK3,рейс остался без изменений/авиакомпания подтвердила изменения в рейсе
KK4,рейс остался без изменений/авиакомпания подтвердила изменения в рейсе
KK5,рейс остался без изменений/авиакомпания подтвердила изменения в рейсе
ЮН,авиакомпания отменила рейс
UN,авиакомпания отменила рейс
UN1,авиакомпания отменила рейс
UN2,авиакомпания отменила рейс
UN3,авиакомпания отменила рейс
UN4,авиакомпания отменила рейс
UN5,авиакомпания отменила рейс
UN6,авиакомпания отменила рейс
UN7,авиакомпания отменила рейс
UC,купить билеты на рейс или внести в них изменения нельзя
UC1,купить билеты на рейс или внести в них изменения нельзя
UC2,купить билеты на рейс или внести в них изменения нельзя
UC3,купить билеты на рейс или внести в них изменения нельзя
UC4,купить билеты на рейс или внести в них изменения нельзя
UC5,купить билеты на рейс или внести в них изменения нельзя
UC6,купить билеты на рейс или внести в них изменения нельзя
УН,авиакомпания отменила рейс
УН1,авиакомпания отменила рейс
УН2,авиакомпания отменила рейс
УН3,авиакомпания отменила рейс
УН4,авиакомпания отменила рейс
УН5,авиакомпания отменила рейс
HX,авиакомпания сняла места
HX1,авиакомпания сняла места
HX2,авиакомпания сняла места
HX3,авиакомпания сняла места
HX4,авиакомпания сняла места
НХ1,авиакомпания сняла места
НХ2,авиакомпания сняла места
НХ3,авиакомпания сняла места
НХ4,авиакомпания сняла места
ХХ1,авиакомпания сняла места
ХХ2,авиакомпания сняла места
ХХ3,авиакомпания сняла места
XX1,авиакомпания сняла места
XX2,авиакомпания сняла места
XX3,авиакомпания сняла места
NO1,авиакомпания не подтвердила бронирование
NO2,авиакомпания не подтвердила бронирование
NO3,авиакомпания не подтвердила бронирование
NO4,авиакомпания не подтвердила бронирование
NO5,авиакомпания не подтвердила бронирование
NO6,авиакомпания не подтвердила бронирование
НС,рейс на замену
НС,рейс на замену
НС1,рейс на замену
НС2,рейс на замену
НС3,рейс на замену
НС4,рейс на замену
НС5,рейс на замену
HS,рейс на замену
HS1,рейс на замену
HS2,рейс на замену
HS3,рейс на замену
HS4,рейс на замену
HS5,рейс на замену
HS6,рейс на замену
HS7,рейс на замену
HS8,рейс на замену
SS1,рейс на замену
SS2,рейс на замену
SS3,рейс на замену
SS4,рейс на замену
СС1,рейс на замену
СС2,рейс на замену
СС3,рейс на замену
СС4,рейс на замену
ЮХ,авиакомпания аннулировала билет/не подтвердила бронирование
UX,авиакомпания аннулировала билет/не подтвердила бронирование
ЮЦ,авиакомпания отменила бронирование
